        nu_e/omega_T             omega_r             omega_i            omega1_r            omega1_i            omega2_r            omega2_i
           977.02621             1.03744            -0.37664             0.00000             0.00000             1.18946            -0.68946
           979.85407             1.03806            -0.37703             0.00000             0.00000             1.19046            -0.69046
           982.68194             1.03869            -0.37741             0.00000             0.00000             1.19146            -0.69146
           985.50980             1.03931            -0.37780             0.00000             0.00000             1.19245            -0.69245
           988.33766             1.03994            -0.37818             0.00000             0.00000             1.19344            -0.69344
           991.16552             1.04056            -0.37856             0.00000             0.00000             1.19443            -0.69443
           993.99338             1.04118            -0.37894             0.00000             0.00000             1.19542            -0.69542
           996.82124             1.04180            -0.37933             0.00000             0.00000             1.19641            -0.69641
           999.64911             1.04242            -0.37971             0.00000             0.00000             1.19740            -0.69740
          1002.47697             1.04304            -0.38008             0.00000             0.00000             1.19838            -0.69838
          1005.30483             1.04365            -0.38046             0.00000             0.00000             1.19937            -0.69937
          1008.13269             1.04427            -0.38084             0.00000             0.00000             1.20035            -0.70035
          1010.96055             1.04488            -0.38122             0.00000             0.00000             1.20133            -0.70133
          1013.78841             1.04550            -0.38160             0.00000             0.00000             1.20231            -0.70231
          1016.61628             1.04611            -0.38197             0.00000             0.00000             1.20329            -0.70329
          1019.44414             1.04672            -0.38235             0.00000             0.00000             1.20427            -0.70427
          1022.27200             1.04733            -0.38272             0.00000             0.00000             1.20525            -0.70525
